policy,entry,exit,pnl
MA50/200,2020-07-02,2020-08-06,-2193.6436642346807
MA50/200,2020-07-17,2020-08-20,10265.08018867307
MA50/200,2020-08-17,2020-08-27,10528.398699451149
MA50/200,2020-08-19,2020-09-23,-41.77440940516382
MA50/200,2020-08-20,2020-09-24,162.01572596092367
MA50/200,2020-11-06,2020-11-23,8847.625528277162
MA50/200,2020-11-05,2020-11-25,11522.061284659578
MA50/200,2020-11-09,2020-11-27,10790.432006240368
MA50/200,2020-11-23,2020-12-08,10587.463044700135
MA50/200,2020-12-09,2020-12-30,7608.59534940392
MA50/200,2020-12-30,2021-01-20,10648.568620793714
MA50/200,2021-01-04,2021-02-03,12090.406340878653
MA50/200,2021-01-25,2021-02-11,8967.716326203983
MA50/200,2021-02-18,2021-03-10,3665.6580960890224
MA50/200,2021-03-08,2021-03-22,11154.938836581656
MA50/200,2021-03-10,2021-03-26,10432.295181860056
MA50/200,2021-04-01,2021-05-06,8310.392208131656
MA50/200,2021-05-19,2021-06-03,10286.948802395009
MA50/200,2021-05-07,2021-06-11,512.689661622105
MA50/200,2021-06-11,2021-07-16,4822.049961847593
MA50/200,2021-07-21,2021-08-24,5593.212428953092
MA50/200,2021-08-18,2021-08-31,18951.71375692652
MA50/200,2021-08-24,2021-09-28,-2594.849553442214
MA50/200,2021-09-17,2021-09-30,-13505.461032661731
MA50/200,2021-09-28,2021-10-14,12066.457055060642
MA50/200,2021-09-29,2021-10-14,12140.343511088458
MA50/200,2021-10-14,2021-11-17,9870.216268549348
MA50/200,2021-11-22,2021-12-06,-13362.883186619143
MA50/200,2021-11-17,2021-12-22,1098.1134791891573
MA50/200,2021-12-10,2021-12-23,5770.555011033715
MA50/200,2021-12-20,2021-12-23,11007.58396340797
MA50/200,2021-12-23,2022-01-28,-5661.138781248351
MA50/200,2022-01-18,2022-02-07,-1168.0492210234338
MA50/200,2022-02-07,2022-02-28,-8080.443545999093
