variant,entry_date,exit_date,strategy,pnl,max_loss,n_contracts,pnl_source
V1b_weekly_catchup,2009-09-21,2009-10-05,Bull Put Spread (High Vol),9643.553164902623,62595.13381682134,3,bootstrap
V1b_weekly_catchup,2009-09-28,2009-10-12,Bull Put Spread (High Vol),12138.53256042014,83409.33692949996,3,bootstrap
V1b_weekly_catchup,2009-10-12,2009-10-26,Bull Put Spread (High Vol),9562.147183755427,63221.02849727942,3,bootstrap
V1b_weekly_catchup,2009-10-21,2009-11-04,Bull Put Spread (High Vol),5896.148504071107,63344.179003103,3,engine_d+0
V1b_weekly_catchup,2009-10-26,2009-11-09,Bull Put Spread (High Vol),-4054.9086374847084,62621.93610589632,3,bootstrap
V1b_weekly_catchup,2009-11-09,2009-11-23,Bull Put Spread (High Vol),7972.859245981578,64539.488748007396,3,engine_d+1
V1b_weekly_catchup,2009-11-16,2009-11-30,Bull Put Spread (High Vol),12138.53256042014,83409.33692949996,3,bootstrap
V1b_weekly_catchup,2009-11-30,2009-12-14,Bull Put Spread (High Vol),9562.147183755427,63221.02849727942,3,bootstrap
V1b_weekly_catchup,2009-12-07,2009-12-21,Bull Put Spread (High Vol),12028.81435487749,89676.74885878041,3,bootstrap
V1b_weekly_catchup,2010-02-16,2010-03-02,Bear Call Spread (High Vol),-4991.167896024677,90583.10009717633,3,engine_d+0
V1b_weekly_catchup,2010-05-10,2010-05-24,Iron Condor (High Vol),8385.091819735859,173901.2481223495,3,engine_d+0
V1b_weekly_catchup,2010-05-17,2010-05-31,Iron Condor (High Vol),16185.081066951054,98329.25261341788,3,bootstrap
V1b_weekly_catchup,2010-05-25,2010-06-08,Iron Condor (High Vol),10180.849537021822,165397.9380557523,3,bootstrap
V1b_weekly_catchup,2010-06-02,2010-06-16,Iron Condor (High Vol),13460.06264274487,77031.84215350104,3,bootstrap
V1b_weekly_catchup,2010-06-14,2010-06-28,Iron Condor (High Vol),11674.068185890064,168127.81128161907,3,engine_d+0
V1b_weekly_catchup,2010-06-21,2010-07-05,Bear Call Spread (High Vol),-4991.167896024677,90583.10009717633,3,bootstrap
