entry_date,exit_date,strategy,family,hv,era,entry_delta_pershare,contracts,exit_pnl,delta_pnl,residual,fidelity_err
2021-02-18,2021-03-10,Bull Put Spread (High Vol),BPS,HV,post2020,0.0992,6.3563,3665.66,2181.51,1484.14,0.0
2021-03-05,2021-03-22,Iron Condor (High Vol),IC,HV,post2020,0.0003,4.5801,11132.54,283.74,10848.8,0.0
2021-03-08,2021-03-22,Iron Condor (High Vol),IC,HV,post2020,0.0018,4.5355,11154.94,-201.88,11356.82,0.0
2021-03-10,2021-03-26,Bull Put Spread (High Vol),BPS,HV,post2020,0.101,6.2066,10432.3,5694.65,4737.64,0.0
2021-04-01,2021-05-06,Bull Call Diagonal,BCD,nonHV,post2020,0.3996,0.9924,8310.39,7138.7,1171.69,0.0
2021-05-19,2021-06-03,Bull Put Spread (High Vol),BPS,HV,post2020,0.1005,6.0334,10286.95,4512.01,5774.94,0.0
2021-05-07,2021-06-11,Bull Call Diagonal,BCD,nonHV,post2020,0.4008,0.9734,512.69,604.81,-92.12,0.0
2021-06-11,2021-06-18,Bull Call Diagonal,BCD,nonHV,post2020,0.4,1.0294,-1322.26,-3141.72,1819.46,0.0
2021-06-21,2021-07-26,Bull Call Diagonal,BCD,nonHV,post2020,0.3995,0.9162,8324.85,7323.71,1001.14,0.0
2021-07-26,2021-08-27,Bull Call Diagonal,BCD,nonHV,post2020,0.4013,0.8858,3814.62,3323.51,491.11,0.0
2021-08-18,2021-08-31,Bull Put Spread,BPS,nonHV,post2020,0.1498,6.2274,18951.71,10439.55,8512.17,0.0
2021-08-27,2021-09-20,Bull Call Diagonal,BCD,nonHV,post2020,0.4005,0.9283,-1529.07,-5598.71,4069.63,0.0
2021-09-17,2021-10-14,Iron Condor,IC,nonHV,post2020,0.0002,5.3265,14983.74,5515.95,9467.79,0.0
2021-10-18,2021-11-19,Bull Call Diagonal,BCD,nonHV,post2020,0.4005,0.9397,8891.38,7740.15,1151.23,0.0
2021-11-22,2021-12-06,Bull Put Spread,BPS,nonHV,post2020,0.1492,6.5258,-13362.88,-9992.28,-3370.6,0.0
2021-12-02,2021-12-16,Iron Condor (High Vol),IC,HV,post2020,-0.04,2.0101,5368.22,-503.03,5871.25,0.0
2021-12-10,2021-12-23,Bull Put Spread,BPS,nonHV,post2020,0.1502,6.6169,5770.56,3069.64,2700.91,0.0
2021-11-19,2021-12-27,Bull Call Diagonal,BCD,nonHV,post2020,0.3989,0.8251,3988.0,2488.1,1499.9,0.0
2021-12-17,2022-01-11,Iron Condor,IC,nonHV,post2020,0.0012,4.8857,11908.81,2807.05,9101.76,0.0
