date,ivp,vix,trend,anchor_spx,fwd_21d_ret,fwd_21d_dir,fwd_34d_ret,fwd_34d_dir,fwd_60d_ret,fwd_60d_dir
2016-07-27,LOW,12.83,BULLISH,2166.58,0.0072,FLAT,0.0044,FLAT,-0.0095,FLAT
2016-07-28,LOW,12.72,BULLISH,2170.06,0.0078,FLAT,0.0004,FLAT,-0.011,DOWN
2016-07-29,LOW,11.87,BULLISH,2173.6,0.0047,FLAT,-0.0013,FLAT,-0.0063,FLAT
2016-08-01,LOW,12.44,BULLISH,2170.84,0.0054,FLAT,0.0072,FLAT,-0.0012,FLAT
2016-08-02,LOW,13.37,BULLISH,2157.03,0.0138,UP,0.0137,UP,0.0019,FLAT
2016-08-03,LOW,12.86,BULLISH,2163.79,0.0054,FLAT,0.0105,UP,-0.0012,FLAT
2016-08-04,LOW,12.42,BULLISH,2164.25,0.0038,FLAT,0.0101,UP,-0.0014,FLAT
2016-08-05,LOW,11.39,BULLISH,2182.87,-0.0063,FLAT,-0.0007,FLAT,-0.0148,DOWN
2016-08-08,LOW,11.5,BULLISH,2180.89,-0.0002,FLAT,-0.01,DOWN,-0.0124,DOWN
2016-08-09,LOW,11.66,BULLISH,2181.74,-0.0026,FLAT,-0.0104,DOWN,-0.0083,FLAT
2016-08-10,LOW,12.05,BULLISH,2175.49,-0.0021,FLAT,-0.0223,DOWN,-0.0054,FLAT
2016-08-11,LOW,11.68,BULLISH,2185.79,-0.0068,FLAT,-0.0275,DOWN,-0.0101,DOWN
2016-08-12,LOW,11.55,BULLISH,2184.05,-0.0019,FLAT,-0.0168,DOWN,-0.0217,DOWN
2016-08-15,LOW,11.81,BULLISH,2190.15,-0.0017,FLAT,-0.0233,DOWN,-0.0261,DOWN
2016-08-16,LOW,12.64,BULLISH,2178.15,0.0038,FLAT,-0.0179,DOWN,-0.0237,DOWN
2016-08-17,LOW,12.19,BULLISH,2182.22,0.0018,FLAT,-0.0195,DOWN,-0.0255,DOWN
